Release,prsClosed,issuesClosed,issuesOpened,prsOpened,contributors,ReleaseDate
112,3,0,0,2,2,2014-07-08T20:27:26Z
1.13.0-beta0,6,0,0,7,5,2016-11-09T19:55:15Z
1.5.0-beta1,0,0,0,0,0,2016-01-25T18:29:46Z
0.185.0,13,0,0,13,10,2015-03-03T19:09:33Z
0.192.0,3,0,0,6,6,2015-04-15T17:32:22Z
0.196.0,0,0,0,0,0,2015-04-30T20:36:42Z
Molybdenum,2,0,0,4,3,2013-12-06T00:44:55Z
Gallium,0,0,0,0,0,2013-10-04T21:10:47Z
Iodine,1,0,0,2,2,2014-02-26T00:09:13Z
1.15.0-beta3,0,0,0,0,0,2017-02-17T17:26:09Z
0.194.0,5,0,0,3,3,2015-04-22T01:56:56Z
1.17.0-beta0,5,0,0,4,3,2017-04-12T18:00:29Z
110,5,0,0,5,2,2014-07-08T01:06:35Z
0.195.0,27,0,0,30,16,2015-04-30T18:37:06Z
1.17.0-beta4,7,0,0,11,8,2017-04-26T18:30:17Z
1.4.0-beta3,3,0,0,2,2,2015-12-18T22:09:25Z
Caesium,0,0,0,0,0,2014-02-26T03:55:19Z
71,2,0,0,1,1,2014-03-10T18:18:56Z
0.187.0,13,0,0,19,11,2015-03-09T21:07:04Z
109,7,0,0,9,6,2014-07-07T20:36:20Z
128,7,0,0,7,5,2014-09-16T16:00:30Z
1.0.3,54,0,0,59,31,2015-07-28T17:57:44Z
Cerium,0,0,0,0,0,2014-02-26T19:55:43Z
0.169.0,3,0,0,3,3,2015-01-08T17:42:08Z
1.2.3,1,0,0,4,3,2015-11-19T15:13:37Z
74,6,0,0,7,6,2014-03-20T16:26:13Z
1.4.0,19,0,0,17,11,2016-01-13T21:29:22Z
139,13,0,0,11,7,2014-10-22T17:21:08Z
1.12.6,10,0,0,12,9,2016-11-25T13:22:11Z
1.5.0,22,0,0,17,9,2016-02-09T18:40:36Z
163,1,0,0,1,1,2014-12-19T21:27:45Z
87,2,0,0,3,1,2014-04-16T01:07:57Z
132,6,0,0,3,3,2014-09-26T22:17:35Z
159,6,0,0,8,8,2014-12-16T20:57:00Z
Barium,1,0,0,0,0,2014-02-26T17:22:02Z
1.14.2,5,0,0,10,6,2017-02-14T18:24:48Z
1.10.2,0,0,0,0,0,2016-09-07T21:06:15Z
1.3.0-beta2,2,0,0,11,6,2015-11-17T16:53:13Z
Strontium,0,0,0,0,0,2013-11-19T17:08:24Z
1.15.0-beta0,0,0,0,0,0,2017-02-08T19:53:04Z
1.7.0-beta5,8,0,0,11,9,2016-04-07T21:52:44Z
1.3.0-beta4,1,0,0,0,0,2015-11-18T19:07:48Z
1.14.0-beta0,0,0,0,0,0,2017-01-10T18:13:19Z
1.5.0-beta0,0,0,0,0,0,2016-01-13T21:29:23Z
82,7,0,0,7,4,2014-04-03T15:25:08Z
1.5.1,5,0,0,3,3,2016-02-10T20:17:43Z
93,11,0,0,12,5,2014-05-06T13:39:10Z
1.11.0-beta1,7,0,0,7,6,2016-09-01T09:09:29Z
0.208.0,19,0,0,17,12,2015-06-09T18:51:39Z
1.5.3,5,0,0,6,5,2016-02-12T20:35:18Z
1.14.4,0,0,0,0,0,2017-02-27T17:32:59Z
Rhodium,29,0,0,30,7,2014-01-15T00:39:14Z
1.0.11,2,0,0,4,3,2015-09-02T18:20:59Z
1.14.0-beta4,5,0,0,5,5,2017-02-02T14:01:45Z
162,2,0,0,3,3,2014-12-18T19:27:23Z
164,1,0,0,0,0,2014-12-20T02:44:21Z
137,21,0,0,30,17,2014-10-15T18:28:37Z
102,3,0,0,3,3,2014-06-09T16:32:06Z
124,17,0,0,16,11,2014-08-26T18:39:51Z
1.15.0,16,0,0,21,11,2017-03-08T20:18:47Z
81,0,0,0,0,0,2014-03-31T18:34:06Z
