contributors,prsClosed,prsOpened,issuesClosed,ReleaseDate,issuesOpened,Release
25,276,286,62,2013-09-10T07:06:21Z,62,Iron
9,48,45,0,2013-10-02T17:39:02Z,0,Cobalt
0,1,0,0,2013-10-02T18:26:25Z,0,Nickel
3,6,6,0,2013-10-04T16:25:31Z,0,Copper
1,1,1,0,2013-10-04T20:14:54Z,0,Zinc
0,0,0,0,2013-10-04T21:10:47Z,0,Gallium
8,42,45,0,2013-10-24T16:21:57Z,0,Germanium
4,11,9,0,2013-10-30T01:28:49Z,0,Arsenic
5,4,5,0,2013-10-31T00:28:57Z,0,Selenium
7,16,14,0,2013-11-08T16:46:21Z,0,Bromine
5,7,10,0,2013-11-15T00:06:45Z,0,Krypton
1,4,1,0,2013-11-19T00:09:25Z,0,Rubidium
0,0,0,0,2013-11-19T17:08:24Z,0,Strontium
6,18,18,0,2013-11-25T19:40:05Z,0,Yttrium
5,13,13,0,2013-12-04T19:26:06Z,0,Zirconium
1,2,1,0,2013-12-05T00:32:52Z,0,Niobium
3,2,4,0,2013-12-06T00:44:55Z,0,Molybdenum
5,11,10,0,2013-12-09T22:40:54Z,0,Technetium
6,23,24,0,2013-12-17T20:42:25Z,0,Ruthenium
7,29,30,0,2014-01-15T00:39:14Z,0,Rhodium
2,7,4,0,2014-01-16T01:54:06Z,0,Palladium
2,3,2,0,2014-01-17T18:12:05Z,0,Silver
6,9,11,0,2014-01-23T00:38:47Z,0,Cadmium
6,15,16,0,2014-02-03T06:51:15Z,0,Indium
4,22,19,0,2014-02-13T00:17:36Z,0,Tin
4,15,18,0,2014-02-20T20:23:08Z,0,Antimony
4,7,5,0,2014-02-25T14:19:42Z,0,Tellurium
2,1,2,0,2014-02-26T00:09:13Z,0,Iodine
0,0,0,0,2014-02-26T00:41:15Z,0,Xenon
0,0,0,0,2014-02-26T03:55:19Z,0,Caesium
0,1,0,0,2014-02-26T17:22:02Z,0,Barium
0,0,0,0,2014-02-26T19:23:03Z,0,Lanthanum
0,0,0,0,2014-02-26T19:55:43Z,0,Cerium
0,0,0,0,2014-02-26T20:00:43Z,0,Praseodymium
0,0,0,0,2014-02-27T01:16:41Z,0,Neodymium
3,3,3,0,2014-02-27T23:59:06Z,0,Promethium
4,2,4,0,2014-02-28T18:01:54Z,0,62
2,6,4,0,2014-03-01T22:50:12Z,0,63
0,0,0,0,2014-03-01T23:56:21Z,0,64
2,2,2,0,2014-03-03T23:51:39Z,0,65
4,6,4,0,2014-03-04T22:52:48Z,0,66
3,2,5,0,2014-03-05T01:57:08Z,0,67
5,5,5,0,2014-03-06T17:06:59Z,0,68
1,2,1,0,2014-03-06T23:04:47Z,0,69
2,4,2,0,2014-03-10T15:52:35Z,0,70
1,2,1,0,2014-03-10T18:18:56Z,0,71
3,5,5,0,2014-03-13T19:41:08Z,0,72
1,1,1,0,2014-03-14T16:14:50Z,0,73
6,6,7,0,2014-03-20T16:26:13Z,0,74
