number,user_htmlURL,repository_url,user_login,labels_url,title,milestone_id,updated_at,events_url,created_at,html_url,locked,comments_url,closed_at,url,id,milestone_htmlURL,labels,state,
562,https://github.com/kevinsawicki,https://api.github.com/repos/atom/atom,kevinsawicki,https://api.github.com/repos/atom/atom/issues/562/labels{/name},Error on goto line,337546,2013-05-22T22:28:32Z,https://api.github.com/repos/atom/atom/issues/562/events,2013-05-22T18:57:54Z,https://github.com/atom/atom/issues/562,False,https://api.github.com/repos/atom/atom/issues/562/comments,2013-05-22T22:26:01Z,https://api.github.com/repos/atom/atom/issues/562,14639334,https://github.com/atom/atom/milestone/7,bug ,closed,
561,https://github.com/gjtorikian,https://api.github.com/repos/atom/atom,gjtorikian,https://api.github.com/repos/atom/atom/issues/561/labels{/name},Bump nak for better gitignoring,337546,2013-05-22T22:28:41Z,https://api.github.com/repos/atom/atom/issues/561/events,2013-05-22T05:41:44Z,https://github.com/atom/atom/pull/561,False,https://api.github.com/repos/atom/atom/issues/561/comments,2013-05-22T17:11:22Z,https://api.github.com/repos/atom/atom/issues/561,14604965,https://github.com/atom/atom/milestone/7,,closed,
560,https://github.com/kevinsawicki,https://api.github.com/repos/atom/atom,kevinsawicki,https://api.github.com/repos/atom/atom/issues/560/labels{/name},Error on newline,337546,2013-05-22T22:28:52Z,https://api.github.com/repos/atom/atom/issues/560/events,2013-05-21T22:05:08Z,https://github.com/atom/atom/issues/560,False,https://api.github.com/repos/atom/atom/issues/560/comments,2013-05-22T22:26:47Z,https://api.github.com/repos/atom/atom/issues/560,14593977,https://github.com/atom/atom/milestone/7,bug ,closed,
559,https://github.com/gjtorikian,https://api.github.com/repos/atom/atom,gjtorikian,https://api.github.com/repos/atom/atom/issues/559/labels{/name},Remove blank options in renderMarkdown,337546,2013-05-22T22:28:58Z,https://api.github.com/repos/atom/atom/issues/559/events,2013-05-21T17:53:38Z,https://github.com/atom/atom/pull/559,False,https://api.github.com/repos/atom/atom/issues/559/comments,2013-05-21T18:36:20Z,https://api.github.com/repos/atom/atom/issues/559,14581300,https://github.com/atom/atom/milestone/7,,closed,
558,https://github.com/kevinsawicki,https://api.github.com/repos/atom/atom,kevinsawicki,https://api.github.com/repos/atom/atom/issues/558/labels{/name},Install packages,337546,2013-05-22T22:57:55Z,https://api.github.com/repos/atom/atom/issues/558/events,2013-05-21T17:47:40Z,https://github.com/atom/atom/pull/558,False,https://api.github.com/repos/atom/atom/issues/558/comments,2013-05-22T22:57:37Z,https://api.github.com/repos/atom/atom/issues/558,14581034,https://github.com/atom/atom/milestone/7,,closed,
556,https://github.com/kevinsawicki,https://api.github.com/repos/atom/atom,kevinsawicki,https://api.github.com/repos/atom/atom/issues/556/labels{/name},Crash on callback,337546,2013-05-22T22:29:04Z,https://api.github.com/repos/atom/atom/issues/556/events,2013-05-20T15:50:38Z,https://github.com/atom/atom/issues/556,False,https://api.github.com/repos/atom/atom/issues/556/comments,2013-05-22T08:43:12Z,https://api.github.com/repos/atom/atom/issues/556,14525736,https://github.com/atom/atom/milestone/7,bug ,closed,
553,https://github.com/jnewland,https://api.github.com/repos/atom/atom,jnewland,https://api.github.com/repos/atom/atom/issues/553/labels{/name},Fuzzy finder regression,332810,2013-12-02T20:47:55Z,https://api.github.com/repos/atom/atom/issues/553/events,2013-05-16T13:20:48Z,https://github.com/atom/atom/issues/553,False,https://api.github.com/repos/atom/atom/issues/553/comments,2013-05-16T15:50:08Z,https://api.github.com/repos/atom/atom/issues/553,14405266,https://github.com/atom/atom/milestone/6,bug ,closed,
550,https://github.com/probablycorey,https://api.github.com/repos/atom/atom,probablycorey,https://api.github.com/repos/atom/atom/issues/550/labels{/name},Editor doesn't scroll horizontally anymore,332810,2013-05-14T16:11:42Z,https://api.github.com/repos/atom/atom/issues/550/events,2013-05-13T23:45:47Z,https://github.com/atom/atom/issues/550,False,https://api.github.com/repos/atom/atom/issues/550/comments,2013-05-14T16:11:42Z,https://api.github.com/repos/atom/atom/issues/550,14287552,https://github.com/atom/atom/milestone/6,bug ,closed,
549,https://github.com/wfarr,https://api.github.com/repos/atom/atom,wfarr,https://api.github.com/repos/atom/atom/issues/549/labels{/name},fuzzy file finder doesn't respect ignore gitignored files anymore,332810,2013-05-14T17:09:43Z,https://api.github.com/repos/atom/atom/issues/549/events,2013-05-13T22:32:24Z,https://github.com/atom/atom/issues/549,False,https://api.github.com/repos/atom/atom/issues/549/comments,2013-05-14T00:36:04Z,https://api.github.com/repos/atom/atom/issues/549,14285375,https://github.com/atom/atom/milestone/6,bug ,closed,
545,https://github.com/kevinsawicki,https://api.github.com/repos/atom/atom,kevinsawicki,https://api.github.com/repos/atom/atom/issues/545/labels{/name},Config ui is always in dev mode,332810,2013-05-14T17:13:47Z,https://api.github.com/repos/atom/atom/issues/545/events,2013-05-10T17:58:23Z,https://github.com/atom/atom/issues/545,False,https://api.github.com/repos/atom/atom/issues/545/comments,2013-05-14T17:13:47Z,https://api.github.com/repos/atom/atom/issues/545,14202079,https://github.com/atom/atom/milestone/6,bug ,closed,
543,https://github.com/kevinsawicki,https://api.github.com/repos/atom/atom,kevinsawicki,https://api.github.com/repos/atom/atom/issues/543/labels{/name},Atom Package Manager,332810,2013-05-22T22:59:50Z,https://api.github.com/repos/atom/atom/issues/543/events,2013-05-08T18:31:50Z,https://github.com/atom/atom/pull/543,False,https://api.github.com/repos/atom/atom/issues/543/comments,2013-05-14T19:50:08Z,https://api.github.com/repos/atom/atom/issues/543,14115327,https://github.com/atom/atom/milestone/6,,closed,
