releaseName,releaseDate,contributors
1.0.2,2014-10-16T07:00:35Z,6
1.0.3,2014-10-27T19:29:51Z,3
1.0.4,2014-11-11T14:31:40Z,24
1.0.5,2014-11-11T16:04:53Z,1
1.1.0,2014-11-18T19:32:17Z,8
1.2.0,2014-12-09T00:11:43Z,7
1.2.1,2014-12-09T10:21:01Z,1
1.2.2,2014-12-16T20:42:22Z,4
1.3.0,2015-01-21T00:04:32Z,7
1.3.1,2015-01-22T19:07:19Z,4
1.4.0,2015-02-09T22:04:39Z,7
1.4.1,2015-02-13T23:35:33Z,4
1.4.2,2015-02-24T21:52:40Z,4
1.4.3,2015-03-17T22:41:53Z,8
1.4.4,2015-03-30T22:36:56Z,6
1.4.5,2015-05-05T00:16:41Z,13
1.4.6,2015-06-07T21:04:45Z,12
1.4.7,2015-06-22T16:38:24Z,4
1.5.0,2015-07-20T09:37:24Z,14
1.5.1,2015-07-27T01:11:42Z,9
1.5.2,2015-08-24T17:14:39Z,12
1.5.3,2015-09-29T01:06:53Z,8
1.6.0,2015-11-04T22:05:58Z,16
1.6.1,2015-11-30T02:59:27Z,8
1.6.2,2015-12-16T22:36:12Z,6
1.6.3,2015-12-18T06:32:57Z,2
1.6.4,2016-01-13T17:43:21Z,5
1.7.0,2016-02-02T01:10:57Z,5
1.7.1,2016-02-26T05:23:50Z,10
1.7.2,2016-03-21T22:58:47Z,14
1.7.3,2016-03-30T00:37:14Z,9
1.7.4,2016-05-06T20:14:06Z,9
1.7.5,2016-06-08T18:14:36Z,11
1.7.6,2016-06-20T06:27:16Z,7
1.7.7,2016-06-27T23:39:04Z,5
1.8.0,2016-07-13T18:29:07Z,13
1.8.1,2016-07-21T21:29:17Z,8
1.8.2,2016-07-29T03:09:28Z,7
2.0.0,2016-10-03T19:23:46Z,28
2.1.0,2016-10-26T04:03:51Z,11
2.1.1,2016-10-30T23:23:22Z,4
2.1.2,2016-11-04T06:54:55Z,4
2.2.0,2016-12-13T02:00:49Z,17
2.2.1,2016-12-17T02:20:24Z,5
2.2.2,2017-01-18T01:18:03Z,7
2.2.3,2017-01-20T22:03:21Z,7
2.3.0,2017-02-06T09:17:38Z,10
2.3.1,2017-02-08T03:10:37Z,5
2.3.2,2017-02-10T19:49:23Z,3
2.3.3,2017-02-15T22:17:40Z,4
2.3.4,2017-02-28T13:22:29Z,5
2.4.0,2017-04-06T22:57:44Z,16
2.4.1,2017-04-21T23:01:50Z,10
2.4.2,2017-04-24T19:16:10Z,3
2.4.3,2017-04-30T22:08:07Z,8
