releaseName,releaseDate,prsOpened,prsClosed
1.0.2,2014-10-16T07:00:35Z,0,0
1.0.3,2014-10-27T19:29:51Z,0,0
1.0.4,2014-11-11T14:31:40Z,0,0
1.0.5,2014-11-11T16:04:53Z,0,0
1.1.0,2014-11-18T19:32:17Z,0,0
1.2.0,2014-12-09T00:11:43Z,0,0
1.2.1,2014-12-09T10:21:01Z,0,0
1.2.2,2014-12-16T20:42:22Z,0,0
1.3.0,2015-01-21T00:04:32Z,0,0
1.3.1,2015-01-22T19:07:19Z,0,0
1.4.0,2015-02-09T22:04:39Z,0,0
1.4.1,2015-02-13T23:35:33Z,0,0
1.4.2,2015-02-24T21:52:40Z,0,0
1.4.3,2015-03-17T22:41:53Z,0,0
1.4.4,2015-03-30T22:36:56Z,0,0
1.4.5,2015-05-05T00:16:41Z,16,12
1.4.6,2015-06-07T21:04:45Z,8,5
1.4.7,2015-06-22T16:38:24Z,3,4
1.5.0,2015-07-20T09:37:24Z,10,16
1.5.1,2015-07-27T01:11:42Z,0,0
1.5.2,2015-08-24T17:14:39Z,0,0
1.5.3,2015-09-29T01:06:53Z,9,5
1.6.0,2015-11-04T22:05:58Z,3,3
1.6.1,2015-11-30T02:59:27Z,9,4
1.6.2,2015-12-16T22:36:12Z,6,10
1.6.3,2015-12-18T06:32:57Z,1,0
1.6.4,2016-01-13T17:43:21Z,3,1
1.7.0,2016-02-02T01:10:57Z,5,4
1.7.1,2016-02-26T05:23:50Z,6,6
1.7.2,2016-03-21T22:58:47Z,10,7
1.7.3,2016-03-30T00:37:14Z,35,0
1.7.4,2016-05-06T20:14:06Z,10,17
1.7.5,2016-06-08T18:14:36Z,2,21
1.7.6,2016-06-20T06:27:16Z,5,3
1.7.7,2016-06-27T23:39:04Z,7,4
1.8.0,2016-07-13T18:29:07Z,5,6
1.8.1,2016-07-21T21:29:17Z,0,2
1.8.2,2016-07-29T03:09:28Z,2,3
2.0.0,2016-10-03T19:23:46Z,18,30
2.1.0,2016-10-26T04:03:51Z,9,10
2.1.1,2016-10-30T23:23:22Z,0,0
2.1.2,2016-11-04T06:54:55Z,4,3
2.2.0,2016-12-13T02:00:49Z,4,4
2.2.1,2016-12-17T02:20:24Z,0,0
2.2.2,2017-01-18T01:18:03Z,1,0
2.2.3,2017-01-20T22:03:21Z,0,1
2.3.0,2017-02-06T09:17:38Z,0,2
2.3.1,2017-02-08T03:10:37Z,0,0
2.3.2,2017-02-10T19:49:23Z,0,0
2.3.3,2017-02-15T22:17:40Z,0,0
2.3.4,2017-02-28T13:22:29Z,0,0
2.4.0,2017-04-06T22:57:44Z,0,0
2.4.1,2017-04-21T23:01:50Z,0,0
2.4.2,2017-04-24T19:16:10Z,0,0
2.4.3,2017-04-30T22:08:07Z,0,0
