merge_commit_sha,state,diff_url,locked,issue_url,statuses_url,title,review_comments_url,user_login,url,milestone_htmlURL,closed_at,html_url,created_at,merged_at,commits_url,number,user_htmlURL,patch_url,review_comment_url,comments_url,milestone_id,
fc9a06f978e69e357166f64720d8a8269cc12a03,closed,https://github.com/facebook/osquery/pull/3271.diff,False,https://api.github.com/repos/facebook/osquery/issues/3271,https://api.github.com/repos/facebook/osquery/statuses/85846288ba65efddba018ca7f8d384ac1ee706ae,Clear tables after call to amalgamate,https://api.github.com/repos/facebook/osquery/pulls/3271/comments,tpott,https://api.github.com/repos/facebook/osquery/pulls/3271,None,2017-05-11T06:31:45Z,https://github.com/facebook/osquery/pull/3271,2017-05-11T00:59:28Z,2017-05-11T06:31:45Z,https://api.github.com/repos/facebook/osquery/pulls/3271/commits,3271,https://github.com/tpott,https://github.com/facebook/osquery/pull/3271.patch,https://api.github.com/repos/facebook/osquery/pulls/comments{/number},https://api.github.com/repos/facebook/osquery/issues/3271/comments,None,
c279342226e164963a930536c600d01c4809449b,closed,https://github.com/facebook/osquery/pull/3270.diff,False,https://api.github.com/repos/facebook/osquery/issues/3270,https://api.github.com/repos/facebook/osquery/statuses/4af8265013724b589e2df93a831f44f570329a09,Allow querying Windows Registry by 'path' column,https://api.github.com/repos/facebook/osquery/pulls/3270/comments,ryanheffernan,https://api.github.com/repos/facebook/osquery/pulls/3270,None,2017-05-11T17:30:00Z,https://github.com/facebook/osquery/pull/3270,2017-05-10T22:04:25Z,2017-05-11T17:30:00Z,https://api.github.com/repos/facebook/osquery/pulls/3270/commits,3270,https://github.com/ryanheffernan,https://github.com/facebook/osquery/pull/3270.patch,https://api.github.com/repos/facebook/osquery/pulls/comments{/number},https://api.github.com/repos/facebook/osquery/issues/3270/comments,None,
d3698fb8d35e40426990c3adc88a3a2d73555eef,open,https://github.com/facebook/osquery/pull/3269.diff,False,https://api.github.com/repos/facebook/osquery/issues/3269,https://api.github.com/repos/facebook/osquery/statuses/18f044f10587adb656579e3e6200be31973ab200,[Fix #3268] extensions autoload now correctly spawns extension processes,https://api.github.com/repos/facebook/osquery/pulls/3269/comments,poppyseedplehzr,https://api.github.com/repos/facebook/osquery/pulls/3269,None,None,https://github.com/facebook/osquery/pull/3269,2017-05-10T06:51:36Z,None,https://api.github.com/repos/facebook/osquery/pulls/3269/commits,3269,https://github.com/poppyseedplehzr,https://github.com/facebook/osquery/pull/3269.patch,https://api.github.com/repos/facebook/osquery/pulls/comments{/number},https://api.github.com/repos/facebook/osquery/issues/3269/comments,None,
e8c39c55721cbeb9e32a3aebe8a13e8fdd26d1e1,closed,https://github.com/facebook/osquery/pull/3267.diff,False,https://api.github.com/repos/facebook/osquery/issues/3267,https://api.github.com/repos/facebook/osquery/statuses/91a36d766e96b14d558fdfdff7c9e54fd3acb81d,hashing: Add sha1 sha256 md5 functions,https://api.github.com/repos/facebook/osquery/pulls/3267/comments,theopolis,https://api.github.com/repos/facebook/osquery/pulls/3267,None,2017-05-10T06:55:49Z,https://github.com/facebook/osquery/pull/3267,2017-05-10T02:42:27Z,2017-05-10T06:55:49Z,https://api.github.com/repos/facebook/osquery/pulls/3267/commits,3267,https://github.com/theopolis,https://github.com/facebook/osquery/pull/3267.patch,https://api.github.com/repos/facebook/osquery/pulls/comments{/number},https://api.github.com/repos/facebook/osquery/issues/3267/comments,None,
b9f1b5714fc0e2fb582b4cfc9577a991d7a46eb6,open,https://github.com/facebook/osquery/pull/3266.diff,False,https://api.github.com/repos/facebook/osquery/issues/3266,https://api.github.com/repos/facebook/osquery/statuses/3d58a16060d0cd6baeb50db56ffef5278ed832d1,[Fix #3263] Fixing permissive ref issue for windows startup_items table,https://api.github.com/repos/facebook/osquery/pulls/3266/comments,poppyseedplehzr,https://api.github.com/repos/facebook/osquery/pulls/3266,None,None,https://github.com/facebook/osquery/pull/3266,2017-05-10T02:12:11Z,None,https://api.github.com/repos/facebook/osquery/pulls/3266/commits,3266,https://github.com/poppyseedplehzr,https://github.com/facebook/osquery/pull/3266.patch,https://api.github.com/repos/facebook/osquery/pulls/comments{/number},https://api.github.com/repos/facebook/osquery/issues/3266/comments,None,
0ed85d01fe9fa4d2262301249b8564b65ed04772,open,https://github.com/facebook/osquery/pull/3265.diff,False,https://api.github.com/repos/facebook/osquery/issues/3265,https://api.github.com/repos/facebook/osquery/statuses/92df0383a62b86e94e2b30472ab591d6390e352d,[Distributed] Moving to RapidJSON,https://api.github.com/repos/facebook/osquery/pulls/3265/comments,jedi22,https://api.github.com/repos/facebook/osquery/pulls/3265,None,None,https://github.com/facebook/osquery/pull/3265,2017-05-09T23:56:31Z,None,https://api.github.com/repos/facebook/osquery/pulls/3265/commits,3265,https://github.com/jedi22,https://github.com/facebook/osquery/pull/3265.patch,https://api.github.com/repos/facebook/osquery/pulls/comments{/number},https://api.github.com/repos/facebook/osquery/issues/3265/comments,None,
8fa436136d3108635eca57ca9bec045421547299,closed,https://github.com/facebook/osquery/pull/3261.diff,False,https://api.github.com/repos/facebook/osquery/issues/3261,https://api.github.com/repos/facebook/osquery/statuses/9eae1437336ffe2c3237ac711fe9fb1b6c0734dd,Adding OSX/Proton to osx-attacks.conf,https://api.github.com/repos/facebook/osquery/pulls/3261/comments,Centurion89,https://api.github.com/repos/facebook/osquery/pulls/3261,None,2017-05-09T18:45:31Z,https://github.com/facebook/osquery/pull/3261,2017-05-08T23:54:19Z,2017-05-09T18:45:31Z,https://api.github.com/repos/facebook/osquery/pulls/3261/commits,3261,https://github.com/Centurion89,https://github.com/facebook/osquery/pull/3261.patch,https://api.github.com/repos/facebook/osquery/pulls/comments{/number},https://api.github.com/repos/facebook/osquery/issues/3261/comments,None,
920a4b51944573f97a8ba3a1718629e9fd71a3b4,closed,https://github.com/facebook/osquery/pull/3260.diff,False,https://api.github.com/repos/facebook/osquery/issues/3260,https://api.github.com/repos/facebook/osquery/statuses/55f36ba15de94e89760c9370d3a8d720a7905773,[Fix 2956] augeas table returns no data.,https://api.github.com/repos/facebook/osquery/pulls/3260/comments,spasam,https://api.github.com/repos/facebook/osquery/pulls/3260,None,2017-05-11T07:00:35Z,https://github.com/facebook/osquery/pull/3260,2017-05-08T19:00:44Z,2017-05-11T07:00:35Z,https://api.github.com/repos/facebook/osquery/pulls/3260/commits,3260,https://github.com/spasam,https://github.com/facebook/osquery/pull/3260.patch,https://api.github.com/repos/facebook/osquery/pulls/comments{/number},https://api.github.com/repos/facebook/osquery/issues/3260/comments,None,
1413008642f0479daf492812c3ed1ecd96cb4d02,closed,https://github.com/facebook/osquery/pull/3259.diff,False,https://api.github.com/repos/facebook/osquery/issues/3259,https://api.github.com/repos/facebook/osquery/statuses/537d5d646e18cfd493369838580318184b984e84,[fix #3257] report proper routes for 0.0.0.0,https://api.github.com/repos/facebook/osquery/pulls/3259/comments,svmastersamurai,https://api.github.com/repos/facebook/osquery/pulls/3259,None,2017-05-08T08:44:42Z,https://github.com/facebook/osquery/pull/3259,2017-05-07T20:49:58Z,2017-05-08T08:44:42Z,https://api.github.com/repos/facebook/osquery/pulls/3259/commits,3259,https://github.com/svmastersamurai,https://github.com/facebook/osquery/pull/3259.patch,https://api.github.com/repos/facebook/osquery/pulls/comments{/number},https://api.github.com/repos/facebook/osquery/issues/3259/comments,None,
9bdbe8b817d116259fd447196779c785dab867fb,open,https://github.com/facebook/osquery/pull/3256.diff,False,https://api.github.com/repos/facebook/osquery/issues/3256,https://api.github.com/repos/facebook/osquery/statuses/69e395110e5a467c4e7f4900efbba0f17eb8eea9,Signing for OnDemand (ad-hoc) queries,https://api.github.com/repos/facebook/osquery/pulls/3256/comments,jedi22,https://api.github.com/repos/facebook/osquery/pulls/3256,None,None,https://github.com/facebook/osquery/pull/3256,2017-05-05T19:56:35Z,None,https://api.github.com/repos/facebook/osquery/pulls/3256/commits,3256,https://github.com/jedi22,https://github.com/facebook/osquery/pull/3256.patch,https://api.github.com/repos/facebook/osquery/pulls/comments{/number},https://api.github.com/repos/facebook/osquery/issues/3256/comments,None,
e8045f1dd33ee4ed3a424ba70e71c1ff07b2a6e9,closed,https://github.com/facebook/osquery/pull/3253.diff,False,https://api.github.com/repos/facebook/osquery/issues/3253,https://api.github.com/repos/facebook/osquery/statuses/00e337676780f638aa949643b91e544df108266a,[Fix #3230] windows deploy: Changing the ACL group from Everyone to the world SID,https://api.github.com/repos/facebook/osquery/pulls/3253/comments,poppyseedplehzr,https://api.github.com/repos/facebook/osquery/pulls/3253,None,2017-05-05T16:36:15Z,https://github.com/facebook/osquery/pull/3253,2017-05-05T15:23:55Z,2017-05-05T16:36:15Z,https://api.github.com/repos/facebook/osquery/pulls/3253/commits,3253,https://github.com/poppyseedplehzr,https://github.com/facebook/osquery/pull/3253.patch,https://api.github.com/repos/facebook/osquery/pulls/comments{/number},https://api.github.com/repos/facebook/osquery/issues/3253/comments,None,
8fdb0a69452d7ebce85305dac14092c26acee3e6,closed,https://github.com/facebook/osquery/pull/3252.diff,False,https://api.github.com/repos/facebook/osquery/issues/3252,https://api.github.com/repos/facebook/osquery/statuses/2d7de9f92e10228f1037a1b128705bf369110d12,carving: Adding distributed request_id to carver,https://api.github.com/repos/facebook/osquery/pulls/3252/comments,poppyseedplehzr,https://api.github.com/repos/facebook/osquery/pulls/3252,None,2017-05-05T22:14:21Z,https://github.com/facebook/osquery/pull/3252,2017-05-05T06:32:37Z,2017-05-05T22:14:21Z,https://api.github.com/repos/facebook/osquery/pulls/3252/commits,3252,https://github.com/poppyseedplehzr,https://github.com/facebook/osquery/pull/3252.patch,https://api.github.com/repos/facebook/osquery/pulls/comments{/number},https://api.github.com/repos/facebook/osquery/issues/3252/comments,None,
a638ecdfc7986a03cb879272862256e678f266be,closed,https://github.com/facebook/osquery/pull/3251.diff,False,https://api.github.com/repos/facebook/osquery/issues/3251,https://api.github.com/repos/facebook/osquery/statuses/2ef8d7f10399aa4d056227f0e88ef15f19d3044d,[Fix #3248] git submodule now inits new modules on windows,https://api.github.com/repos/facebook/osquery/pulls/3251/comments,poppyseedplehzr,https://api.github.com/repos/facebook/osquery/pulls/3251,None,2017-05-05T06:33:04Z,https://github.com/facebook/osquery/pull/3251,2017-05-05T04:09:15Z,2017-05-05T06:33:04Z,https://api.github.com/repos/facebook/osquery/pulls/3251/commits,3251,https://github.com/poppyseedplehzr,https://github.com/facebook/osquery/pull/3251.patch,https://api.github.com/repos/facebook/osquery/pulls/comments{/number},https://api.github.com/repos/facebook/osquery/issues/3251/comments,None,
04dbbebeac45a62d6417e43c03eca40ce190d3af,closed,https://github.com/facebook/osquery/pull/3250.diff,False,https://api.github.com/repos/facebook/osquery/issues/3250,https://api.github.com/repos/facebook/osquery/statuses/5ddaa02f4782698dbc67cb5ef7569afa542cc1db,[Fix #3249] Addressing permissive build fail,https://api.github.com/repos/facebook/osquery/pulls/3250/comments,poppyseedplehzr,https://api.github.com/repos/facebook/osquery/pulls/3250,None,2017-05-05T06:33:33Z,https://github.com/facebook/osquery/pull/3250,2017-05-05T02:39:34Z,2017-05-05T06:33:33Z,https://api.github.com/repos/facebook/osquery/pulls/3250/commits,3250,https://github.com/poppyseedplehzr,https://github.com/facebook/osquery/pull/3250.patch,https://api.github.com/repos/facebook/osquery/pulls/comments{/number},https://api.github.com/repos/facebook/osquery/issues/3250/comments,None,
582ab52e8fe0472ae3a4268975fc59790180f871,closed,https://github.com/facebook/osquery/pull/3245.diff,False,https://api.github.com/repos/facebook/osquery/issues/3245,https://api.github.com/repos/facebook/osquery/statuses/f280f19d0a167117ce790f8c3c0cceaed86644d8,build: Remove SYSTEMD and _BASED logic,https://api.github.com/repos/facebook/osquery/pulls/3245/comments,theopolis,https://api.github.com/repos/facebook/osquery/pulls/3245,None,2017-05-04T05:28:34Z,https://github.com/facebook/osquery/pull/3245,2017-05-04T03:35:31Z,2017-05-04T05:28:34Z,https://api.github.com/repos/facebook/osquery/pulls/3245/commits,3245,https://github.com/theopolis,https://github.com/facebook/osquery/pull/3245.patch,https://api.github.com/repos/facebook/osquery/pulls/comments{/number},https://api.github.com/repos/facebook/osquery/issues/3245/comments,None,
