tag_name,created_at,id,upload_url,name,zipball_url,published_at,tarball_url,assets_url,prerelease,url,html_url,draft,target_commitish,
v4.0.24,2017-02-22T18:14:16Z,5539159,https://uploads.github.com/repos/wet-boew/wet-boew/releases/5539159/assets{?namelabel},v4.0.24,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.24,2017-02-22T19:10:03Z,https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.24,https://api.github.com/repos/wet-boew/wet-boew/releases/5539159/assets,False,https://api.github.com/repos/wet-boew/wet-boew/releases/5539159,https://github.com/wet-boew/wet-boew/releases/tag/v4.0.24,False,master,
v4.0.23,2016-11-18T19:08:43Z,4702520,https://uploads.github.com/repos/wet-boew/wet-boew/releases/4702520/assets{?namelabel},v4.0.23,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.23,2016-11-18T20:11:55Z,https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.23,https://api.github.com/repos/wet-boew/wet-boew/releases/4702520/assets,False,https://api.github.com/repos/wet-boew/wet-boew/releases/4702520,https://github.com/wet-boew/wet-boew/releases/tag/v4.0.23,False,master,
v4.0.22,2016-08-11T12:48:24Z,3866133,https://uploads.github.com/repos/wet-boew/wet-boew/releases/3866133/assets{?namelabel},v4.0.22,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.22,2016-08-11T14:38:27Z,https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.22,https://api.github.com/repos/wet-boew/wet-boew/releases/3866133/assets,False,https://api.github.com/repos/wet-boew/wet-boew/releases/3866133,https://github.com/wet-boew/wet-boew/releases/tag/v4.0.22,False,master,
v4.0.21,2016-04-12T13:44:31Z,3003169,https://uploads.github.com/repos/wet-boew/wet-boew/releases/3003169/assets{?namelabel},v4.0.21,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.21,2016-04-12T15:56:20Z,https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.21,https://api.github.com/repos/wet-boew/wet-boew/releases/3003169/assets,False,https://api.github.com/repos/wet-boew/wet-boew/releases/3003169,https://github.com/wet-boew/wet-boew/releases/tag/v4.0.21,False,master,
v4.0.20,2015-12-16T14:18:15Z,2298034,https://uploads.github.com/repos/wet-boew/wet-boew/releases/2298034/assets{?namelabel},v4.0.20,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.20,2015-12-16T14:42:19Z,https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.20,https://api.github.com/repos/wet-boew/wet-boew/releases/2298034/assets,False,https://api.github.com/repos/wet-boew/wet-boew/releases/2298034,https://github.com/wet-boew/wet-boew/releases/tag/v4.0.20,False,master,
v4.0.19+2,2015-12-03T00:17:52Z,2224073,https://uploads.github.com/repos/wet-boew/wet-boew/releases/2224073/assets{?namelabel},v4.0.19+2,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.19+2,2015-12-03T00:37:29Z,https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.19+2,https://api.github.com/repos/wet-boew/wet-boew/releases/2224073/assets,False,https://api.github.com/repos/wet-boew/wet-boew/releases/2224073,https://github.com/wet-boew/wet-boew/releases/tag/v4.0.19%2B2,False,master,
v4.0.19,2015-12-01T17:51:37Z,2215206,https://uploads.github.com/repos/wet-boew/wet-boew/releases/2215206/assets{?namelabel},v4.0.19,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.19,2015-12-01T18:39:27Z,https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.19,https://api.github.com/repos/wet-boew/wet-boew/releases/2215206/assets,False,https://api.github.com/repos/wet-boew/wet-boew/releases/2215206,https://github.com/wet-boew/wet-boew/releases/tag/v4.0.19,False,master,
v4.0.18,2015-09-24T13:54:14Z,1862208,https://uploads.github.com/repos/wet-boew/wet-boew/releases/1862208/assets{?namelabel},v4.0.18,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.18,2015-09-24T14:55:33Z,https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.18,https://api.github.com/repos/wet-boew/wet-boew/releases/1862208/assets,False,https://api.github.com/repos/wet-boew/wet-boew/releases/1862208,https://github.com/wet-boew/wet-boew/releases/tag/v4.0.18,False,master,
v4.0.17,2015-08-21T19:51:30Z,1706791,https://uploads.github.com/repos/wet-boew/wet-boew/releases/1706791/assets{?namelabel},v4.0.17,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.17,2015-08-21T20:01:20Z,https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.17,https://api.github.com/repos/wet-boew/wet-boew/releases/1706791/assets,False,https://api.github.com/repos/wet-boew/wet-boew/releases/1706791,https://github.com/wet-boew/wet-boew/releases/tag/v4.0.17,False,master,
v4.0.16,2015-07-21T18:14:54Z,1567094,https://uploads.github.com/repos/wet-boew/wet-boew/releases/1567094/assets{?namelabel},v4.0.16,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.16,2015-07-21T20:33:06Z,https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.16,https://api.github.com/repos/wet-boew/wet-boew/releases/1567094/assets,False,https://api.github.com/repos/wet-boew/wet-boew/releases/1567094,https://github.com/wet-boew/wet-boew/releases/tag/v4.0.16,False,master,
